id;driver;image
7321;VT046005.GAL4@attP2;TP10071401L18Sum01
7322;VT019651.GAL4@attP2;TP10071401L15Sum01
7325;VT005537.GAL4@attP2;TP10071401L09Sum01
7328;VT032906.GAL4@attP2;TP10072301L38Sum01
7332;VT032893.GAL4@attP2;TP10072301L32Sum01
7335;VT028156.GAL4@attP2;TP10072301L28Sum01
7337;VT029489.GAL4@attP2;TP10072301L21Sum01
7339;VT026022.GAL4@attP2;TP10072301L16Sum01
7340;VT032463.GAL4@attP2;TP10072301L12Sum01
7341;VT026010.GAL4@attP2;TP10072301L09Sum01
7342;VT024046.GAL4@attP2;TP10072301L05Sum01
7347;VT027804.GAL4@attP2;TP10072801L39Sum01
7349;VT028158.GAL4@attP2;TP10072801L34Sum01
7353;VT027806.GAL4@attP2;TP10072801L29Sum01
7356;VT033035.GAL4@attP2;TP10072801L22Sum01
7357;VT026000.GAL4@attP2;TP10072801L19Sum01
7360;VT026001.GAL4@attP2;TP10072801L16Sum01
7363;VT028153.GAL4@attP2;TP10072801L07Sum01
7365;VT026035.GAL4@attP2;TP10072801L04Sum01
7366;VT028595.GAL4@attP2;TP10072801L02Sum01
7367;VT028152.GAL4@attP2;TP10073002L02Sum01
7371;VT032895.GAL4@attP2;TP10073001L28Sum01
7374;VT032907.GAL4@attP2;TP10073001L23Sum01
7382;VT029058.GAL4@attP2;TP10073001L07Sum01
7386;VT033649.GAL4@attP2;TP10080602L30Sum01
7400;VT046783.GAL4@attP2;TP10080602L07Sum01
7408;VT046308.GAL4@attP2;TP10080901L29Sum01
7411;VT032914.GAL4@attP2;TP10080901L22Sum01
7421;VT045666.GAL4@attP2;TP10081601L48Sum01
7423;VT045577.GAL4@attP2;TP10081601L44Sum01
7425;VT038600.GAL4@attP2;TP10081601L38Sum01
7429;VT038601.GAL4@attP2;TP10081601L33Sum01
7434;VT026333.GAL4@attP2;TP10081601L20Sum01
7440;VT004455.GAL4@attP2;TP10081601L10Sum01
7441;VT040055.GAL4@attP2;TP10081601L07Sum01
7450;VT008174.GAL4@attP2;TP10082001L23Sum01
7458;VT008832.GAL4@attP2;TP10082001L12Sum01
7464;VT004417.GAL4@attP2;TP10082301L42Sum01
7466;VT007760.GAL4@attP2;TP10082301L36Sum01
7467;VT000535.GAL4@attP2;TP10082301L32Sum01
7468;VT004308.GAL4@attP2;TP10082301L30Sum01
7470;VT005109.GAL4@attP2;TP10082301L26Sum01
7473;VT007752.GAL4@attP2;TP10082301L21Sum01
7477;VT008133.GAL4@attP2;TP10082301L14Sum01
7479;VT004312.GAL4@attP2;TP10082301L10Sum01
7484;VT002064.GAL4@attP2;TP10082701L44Sum01
7486;VT000849.GAL4@attP2;TP10082701L40Sum01
7488;VT002478.GAL4@attP2;TP10082701L35Sum01
7490;VT005110.GAL4@attP2;TP10082701L33Sum01
7493;VT007724.GAL4@attP2;TP10082701L26Sum01
7494;VT005108.GAL4@attP2;TP10082701L21Sum01
7495;VT007721.GAL4@attP2;TP10082701L19Sum01
7498;VT007725.GAL4@attP2;TP10082701L13Sum01
7502;VT004420.GAL4@attP2;TP10082701L09Sum01
7503;VT007280.GAL4@attP2;TP10082701L08Sum01
7506;VT025944.GAL4@attP2;TP10082701L01Sum01
7507;VT000629.GAL4@attP2;TP10083001L30Sum01
7508;VT000810.GAL4@attP2;TP10083001L25Sum01
7509;VT007709.GAL4@attP2;TP10083001L22Sum01
7511;VT000809.GAL4@attP2;TP10083001L19Sum01
7513;VT002063.GAL4@attP2;TP10083001L16Sum01
7516;VT007776.GAL4@attP2;TP10083001L13Sum01
7519;VT007851.GAL4@attP2;TP10083001L08Sum01
7520;VT006820.GAL4@attP2;TP10083001L06Sum01
7522;VT004320.GAL4@attP2;TP10083001L01Sum01
7523;VT021364.GAL4@attP2;TP10090101L03Sum02
7524;VT008153.GAL4@attP2;TP10090301L38Sum01
7526;VT005100.GAL4@attP2;TP10090301L34Sum01
7527;VT008152.GAL4@attP2;TP10090301L33Sum01
7530;VT007714.GAL4@attP2;TP10090301L29Sum01
7532;VT008135.GAL4@attP2;TP10090301L27Sum01
7533;VT020369.GAL4@attP2;TP10090301L24Sum01
7536;VT007751.GAL4@attP2;TP10090301L21Sum01
7539;VT020601.GAL4@attP2;TP10090301L17Sum01
7540;VT019902.GAL4@attP2;TP10090301L15Sum01
7542;VT020590.GAL4@attP2;TP10090301L12Sum01
7544;VT019915.GAL4@attP2;TP10090301L06Sum01
7545;VT021366.GAL4@attP2;TP10090301L03Sum01
7547;VT002021.GAL4@attP2;TP10100501L14Sum01
7548;VT020713.GAL4@attP2;TP10100501L12Sum01
7549;VT000816.GAL4@attP2;TP10102901L14Sum01
7550;VT016966.GAL4@attP2;TP10102901L16Sum01
7555;VT010565.GAL4@attP2;TP10102901L24Sum01
7557;VT018883.GAL4@attP2;TP10102901L21Sum01
7560;VT029046.GAL4@attP2;TP10110201L34Sum01
7561;VT014480.GAL4@attP2;TP10110201L31Sum01
7562;VT058571.GAL4@attP2;TP10110201L28Sum01
7563;VT014484.GAL4@attP2;TP10110201L24Sum01
7564;VT009068.GAL4@attP2;TP10110201L21Sum01
7567;VT016645.GAL4@attP2;TP10110201L14Sum01
7571;VT011049.GAL4@attP2;TP10110201L05Sum01
7572;VT016282.GAL4@attP2;TP10110201L03Sum01
7574;VT032566.GAL4@attP2;TP10110301L31Sum01
7577;VT023615.GAL4@attP2;TP10110301L24Sum01
7578;VT025280.GAL4@attP2;TP10110301L22Sum01
7579;VT025271.GAL4@attP2;TP10110301L19Sum01
7581;VT021910.GAL4@attP2;TP10110301L14Sum01
7582;VT008500.GAL4@attP2;TP10110301L13Sum01
7583;VT031175.GAL4@attP2;TP10110301L09Sum01
7589;VT012282.GAL4@attP2;TP10101101L26Sum01
7591;VT012328.GAL4@attP2;TP10101101L17Sum01
7593;VT036271.GAL4@attP2;TP10100101L21Sum01
7595;VT016119.GAL4@attP2;TP10100101L17Sum01
7598;VT008426.GAL4@attP2;TP10082001L13Sum01
7599;VT040173.GAL4@attP2;TP10081601L35Sum01
7600;VT032913.GAL4@attP2;TP10080901L14Sum01
7601;VT006540.GAL4@attP2;TP10110501L32Sum01
7602;VT008416.GAL4@attP2;TP10110501L28Sum01
7604;VT006553.GAL4@attP2;TP10110501L25Sum01
7607;VT008425.GAL4@attP2;TP10110501L14Sum01
7610;VT063621.GAL4@attP2;TP10110501L09Sum01
7611;VT002963.GAL4@attP2;TP10110501L07Sum01
7615;VT048577.GAL4@attP2;TP10111001L33Sum01
7616;VT008668.GAL4@attP2;TP10111001L31Sum01
7618;VT008661.GAL4@attP2;TP10111001L29Sum01
7622;VT008417.GAL4@attP2;TP10111001L23Sum01
7623;VT005901.GAL4@attP2;TP10111001L21Sum01
7624;VT043054.GAL4@attP2;TP10111001L16Sum01
7631;VT063545.GAL4@attP2;TP10111001L06Sum01
7632;VT018873.GAL4@attP2;TP10111001L03Sum01
7642;VT013606.GAL4@attP2;TP10111501L23Sum01
7649;VT020600.GAL4@attP2;TP10111501L37Sum01
7900;VT999025.GAL4@attP2;JT31052010L1Sum01
7903;VT025718.GAL4@attP2;JT290910aL40Sum01
7906;VT007070.GAL4@attP2;JT290910aL33Sum01
7908;VT032767.GAL4@attP2;JT290910aL30Sum01
7909;VT027737.GAL4@attP2;JT290910aL2Sum01
7912;VT028872.GAL4@attP2;JT290910aL26Sum01
7917;VT001603.GAL4@attP2;JT290910aL20Sum01
7919;VT028868.GAL4@attP2;JT290910aL15Sum01
7920;VT042477.GAL4@attP2;JT290910aL14Sum01
7929;VT014981.GAL4@attP2;JT22062010bL20Sum01
7930;VT012719.GAL4@attP2;JT22062010bL1Sum01
7933;VT000771.GAL4@attP2;JT22062010bL11Sum01
7938;VT019743.GAL4@attP2;JT22062010aL2Sum01
7939;VT038215.GAL4@attP2;JT20072010L8Sum01
7941;VT060523.GAL4@attP2;JT20072010L6Sum01
7942;VT015729.GAL4@attP2;JT20072010L33Sum01
7944;VT047416.GAL4@attP2;JT20072010L2Sum01
7945;VT013662.GAL4@attP2;JT20072010L29Sum01
7947;VT013120.GAL4@attP2;JT20072010L25Sum01
7949;VT024599.GAL4@attP2;JT20072010L21Sum01
7950;VT026922.GAL4@attP2;JT20072010L15Sum01
7951;VT027175.GAL4@attP2;JT20072010L11Sum01
7952;VT019725.GAL4@attP2;JT19072010bR1GR1B1L1301
7953;VT017748.GAL4@attP2;JT19072010bR1GR1B1L1101
7955;VT003480.GAL4@attP2;JT19072010bR1GR1B1L0701
7957;VT048992.GAL4@attP2;JT19072010bR1GR1B1L0301
7958;VT019748.GAL4@attP2;JT19072010R1GR1B1L1201
7961;VT006203.GAL4@attP2;JT19072010R1GR1B1L0601
7969;VT026026.GAL4@attP2;JT18082010bL74Sum01
7970;VT029051.GAL4@attP2;JT18082010bL73Sum01
7973;VT000359.GAL4@attP2;JT18082010bL6Sum01
7974;VT032470.GAL4@attP2;JT18082010bL69Sum01
7977;VT032468.GAL4@attP2;JT18082010bL64Sum01
7980;VT028606.GAL4@attP2;JT18082010bL61Sum01
7982;VT028159.GAL4@attP2;JT18082010bL57Sum01
7985;VT028145.GAL4@attP2;JT18082010bL52Sum01
7987;VT000625.GAL4@attP2;JT18082010bL4Sum01
7988;VT000624.GAL4@attP2;JT18082010bL48Sum01
7991;VT000815.GAL4@attP2;JT18082010bL42Sum01
7993;VT000607.GAL4@attP2;JT18082010bL39Sum01
7996;VT001888.GAL4@attP2;JT18082010bL34Sum01
7998;VT002018.GAL4@attP2;JT18082010bL29Sum01
7999;VT002843.GAL4@attP2;JT18082010bL25Sum01
8003;VT002435.GAL4@attP2;JT18082010bL19Sum01
8004;VT002794.GAL4@attP2;JT18082010bL16Sum01
8008;VT000606.GAL4@attP2;JT18082010bL12Sum01
8011;VT000818.GAL4@attP2;JT18082010L94Sum01
8012;VT000461.GAL4@attP2;JT18082010L90Sum01
8013;VT002841.GAL4@attP2;JT18082010L87Sum01
8015;VT000608.GAL4@attP2;JT18082010L83Sum01
8951;VT048413.GAL4@attP2;CM06022010L1Sum01
8953;VT025942.GAL4@attP2;CM06022010L5Sum01
8954;VT056870.GAL4@attP2;CM06022010L9Sum01
8955;VT020731.GAL4@attP2;CM09012010L19Sum01
8957;VT034808.GAL4@attP2;CM09022010L2Sum01
8958;VT060500.GAL4@attP2;CM09022010L3Sum01
8960;VT016236.GAL4@attP2;CM09022010L7Sum01
8964;VT059695.GAL4@attP2;TP10062101L11Sum01
8972;VT007767.GAL4@attP2;TP10082301L19Sum01
8974;VT007754.GAL4@attP2;TP10082301L08Sum01
8975;VT007773.GAL4@attP2;TP10082301L06Sum01
8977;VT005521.GAL4@attP2;TP10082001L27Sum01
8978;VT008691.GAL4@attP2;TP10082001L17Sum01
8979;VT006205.GAL4@attP2;TP10082001L06Sum01
8980;VT008200.GAL4@attP2;TP10082001L03Sum01
8983;VT007083.GAL4@attP2;TP10081601L27Sum01
8984;VT041035.GAL4@attP2;TP10081601L24Sum01
8985;VT040044.GAL4@attP2;TP10081601L04Sum01
8987;VT046278.GAL4@attP2;TP10080901L24Sum01
8989;VT032460.GAL4@attP2;TP10080901L15Sum01
8992;VT032910.GAL4@attP2;TP10080901L03Sum01
8993;VT008683.GAL4@attP2;TP10080602L25Sum01
8995;VT045642.GAL4@attP2;TP10080602L17Sum01
8996;VT045594.GAL4@attP2;TP10080602L15Sum01
8998;VT045585.GAL4@attP2;TP10080602L09Sum01
9000;VT032908.GAL4@attP2;TP10080602L04Sum01
9005;VT026011.GAL4@attP2;TP10073001L17Sum01
9009;VT028144.GAL4@attP2;TP10073001L03Sum01
9065;VT043788.GAL4@attP2;TP10062401L11Sum01
9068;VT063636.GAL4@attP2;TP10062101L20Sum01
9082;VT024098.GAL4@attP2;TP10061101L21Sum01
9085;VT039963.GAL4@attP2;TP10060401L4Sum01
9086;VT004445.GAL4@attP2;TP10112201L33Sum01
9087;VT004444.GAL4@attP2;TP10112201L32Sum01
9090;VT023823.GAL4@attP2;TP10112201L28Sum01
9093;VT005528.GAL4@attP2;TP10112201L23Sum01
9095;VT055825.GAL4@attP2;TP10112201L18Sum01
9096;VT020040.GAL4@attP2;TP10112201L16Sum01
9097;VT021793.GAL4@attP2;TP10112201L14Sum01
9098;VT026342.GAL4@attP2;TP10112201L13Sum01
9100;VT022223.GAL4@attP2;TP10112201L10Sum01
9102;VT048869.GAL4@attP2;TP10112201L06Sum01
9103;VT023750.GAL4@attP2;TP10112201L05Sum01
9106;VT021623.GAL4@attP2;TP10112201L02Sum01
9108;VT063559.GAL4@attP2;TP10111001L10Sum01
9113;VT050170.GAL4@attP2;TP10110501L20Sum01
9114;VT063556.GAL4@attP2;TP10110501L17Sum01
9116;VT063633.GAL4@attP2;TP10110301L30Sum01
9125;VT058557.GAL4@attP2;TP10110301L04Sum01
9135;VT060194.GAL4@attP2;TP10110201L11Sum01
9137;VT058733.GAL4@attP2;TP10110201L08Sum01
9149;VT057283.GAL4@attP2;TP10101301L16Sum01
9172;VT013541.GAL4@attP2;TP10091401L26Sum01
9174;VT009677.GAL4@attP2;TP10091401L15Sum01
9183;VT058681.GAL4@attP2;TP10091001L16Sum01
9185;VT010567.GAL4@attP2;TP10091001L07Sum01
9221;VT008484.GAL4@attP2;JT18082010L78Sum01
9222;VT021764.GAL4@attP2;JT18082010L70Sum01
9224;VT018834.GAL4@attP2;JT18082010L66Sum01
9228;VT028137.GAL4@attP2;JT18082010L60Sum01
9229;VT026005.GAL4@attP2;JT18082010L57Sum01
9230;VT020831.GAL4@attP2;JT18082010L54Sum01
9231;VT007720.GAL4@attP2;TP10082701L29Sum01
9232;VT044102.GAL4@attP2;JT111010L33Sum01
9235;VT048342.GAL4@attP2;JT111010L2Sum01
9237;VT041687.GAL4@attP2;JT111010L27Sum01
9239;VT031045.GAL4@attP2;JT111010L23Sum01
9241;VT001595.GAL4@attP2;JT111010L12Sum01
9242;VT043391.GAL4@attP2;JT111010L11Sum01
9246;VT029236.GAL4@attP2;JT111010L73Sum01
9249;VT057022.GAL4@attP2;JT111010L6Sum01
9250;VT048579.GAL4@attP2;JT111010L67Sum01
9251;VT015737.GAL4@attP2;JT111010L65Sum01
9253;VT045617.GAL4@attP2;JT111010L48Sum01
9254;VT050649.GAL4@attP2;JT111010L46Sum01
9256;VT046779.GAL4@attP2;JT111010L41Sum01
9257;VT021828.GAL4@attP2;JT111010L37Sum01
9259;VT019347.GAL4@attP2;JT18082010L50Sum01
9260;VT007197.GAL4@attP2;JT18082010L4Sum01
9263;VT021780.GAL4@attP2;JT18082010L46Sum01
9268;VT019656.GAL4@attP2;JT18082010L35Sum01
9269;VT020825.GAL4@attP2;JT18082010L32Sum01
9273;VT008473.GAL4@attP2;JT18082010L25Sum01
9275;VT008483.GAL4@attP2;JT18082010L22Sum01
9277;VT008273.GAL4@attP2;JT18082010L19Sum01
9283;VT012716.GAL4@attP2;JT17062010L9Sum01
9286;VT021538.GAL4@attP2;JT17062010L3Sum01
9289;VT012314.GAL4@attP2;JT15072010L8Sum01
9291;VT015116.GAL4@attP2;JT15072010L5Sum01
9293;VT014015.GAL4@attP2;JT15072010L11Sum01
9294;VT016354.GAL4@attP2;JT15062010L9Sum01
9296;VT019845.GAL4@attP2;JT15062010L3Sum01
9301;VT027733.GAL4@attP2;JT14072010L7Sum01
9302;VT027008.GAL4@attP2;JT14072010L1Sum01
9303;VT012717.GAL4@attP2;JT14072010L12Sum01
9308;VT014729.GAL4@attP2;TP10102701L21Sum01
9314;VT015783.GAL4@attP2;JT031110L1Sum01
9315;VT024024.GAL4@attP2;JT031110L6Sum01
9317;VT034395.GAL4@attP2;JT041110L9Sum01
9319;VT048414.GAL4@attP2;JT041110L17Sum01
9321;VT022122.GAL4@attP2;JT111010L52Sum01
9324;VT046771.GAL4@attP2;JT111010L55Sum01
9327;VT045637.GAL4@attP2;JT111010L60Sum01
9328;VT017862.GAL4@attP2;JT111110L31Sum01
9330;VT023952.GAL4@attP2;JT181110L1Sum01
9333;VT018775.GAL4@attP2;JT181110L9Sum01
9335;VT019912.GAL4@attP2;JT181110L12Sum01
9338;VT020606.GAL4@attP2;JT181110L20Sum01
9339;VT018875.GAL4@attP2;JT181110L22Sum01
9343;VT049363.GAL4@attP2;JT241110L10Sum01
9346;VT033940.GAL4@attP2;JT241110L17Sum01
9350;VT055794.GAL4@attP2;JT241110L22Sum01
9353;VT017253.GAL4@attP2;JT241110L33Sum01
9356;VT026868.GAL4@attP2;JT271010L2Sum01
9357;VT050379.GAL4@attP2;JT271010L6Sum01
9358;VT062762.GAL4@attP2;JT271010L10Sum01
9359;VT022027.GAL4@attP2;JT271010L14Sum01
9363;VT062248.GAL4@attP2;JT271010L20Sum01
9365;VT063732.GAL4@attP2;JT271010L24Sum01
9366;VT064508.GAL4@attP2;JT271010L25Sum01
9367;VT008459.GAL4@attP2;JT05082010L12Sum01
9368;VT006556.GAL4@attP2;JT05072010L3Sum01
9370;VT038986.GAL4@attP2;JT05072010L9Sum01
9372;VT012721.GAL4@attP2;JT04082010L84Sum01
9373;VT021436.GAL4@attP2;JT04082010L86Sum01
9376;VT021540.GAL4@attP2;JT04082010L90Sum01
9379;VT008485.GAL4@attP2;JT04082010L96Sum01
9380;VT008463.GAL4@attP2;JT05082010L19Sum01
9381;VT008286.GAL4@attP2;JT05082010L1Sum01
9383;VT008288.GAL4@attP2;JT05082010L6Sum01
9384;VT008489.GAL4@attP2;JT05082010L9Sum01
9388;VT007186.GAL4@attP2;JT05082010bL12Sum01
9389;VT008277.GAL4@attP2;JT05082010bL14Sum01
