id;driver;image
37260;GMR10B02;CB1_GMR_10B02_AE_01_04-fA01b_C091130_20091201140211091_02_warp_m0g80c8e1e-1x26r301
37261;GMR10B05;CB1_GMR_10B05_AE_01_05-fA01b_C100709_20100709225631953_02_warp_m0g80c8e1e-1x26r301
37262;GMR10B06;CB1_GMR_10B06_AE_01_03-fA01b_C100319_20100319105344703_02_warp_m0g80c8e1e-1x26r301
37263;GMR10B08;CB1_GMR_10B08_AE_01_04-fA01b_C100709_20100709225917140_02_warp_m0g80c8e1e-1x26r301
37264;GMR10B09;CB1_GMR_10B09_AE_01_09-fA01b_C090919_20090919090818746_02_warp_m0g80c8e1e-1x26r301
37265;GMR10B11;CB1_GMR_10B11_AE_01_06-fA01b_C100109_20100111084659939_02_warp_m0g80c8e1e-1x26r301
37266;GMR10C04;CB1_GMR_10C04_AE_01_03-fA01b_C101006_20101006100859359_02_warp_m0g80c8e1e-1x26r301
37267;GMR10C05;CB1_GMR_10C05_AE_01_11-fA01b_C100723_20100723110603203_02_warp_m0g80c8e1e-1x26r301
37268;GMR10C06;CB1_GMR_10C06_AE_01_03-fA01b_C101006_20101006101043406_02_warp_m0g80c8e1e-1x26r301
37269;GMR10C07;CB1_GMR_10C07_AE_01_12-fA01b_C100709_20100709230124312_02_warp_m0g80c8e1e-1x26r301
37270;GMR10D09;CB1_GMR_10D09_AE_01_04-fA01b_C100429_20100429091505046_02_warp_m0g80c8e1e-1x26r301
37271;GMR10E02;CB1_GMR_10E02_AE_01_11-fA01b_C100604_20100604093950828_02_warp_m0g80c8e1e-1x26r301
37272;GMR10E03;CB1_GMR_10E03_AE_01_04-fA01b_C100429_20100429091631875_02_warp_m0g80c8e1e-1x26r301
37273;GMR10E04;CB1_GMR_10E04_AE_01_07-fA01b_C090919_20090919114643593_02_warp_m0g80c8e1e-1x26r301
37274;GMR10E07;CB1_GMR_10E07_AE_01_10-fA01b_C100418_20100419213734968_02_warp_m0g80c8e1e-1x26r301
37275;GMR10E09;CB1_GMR_10E09_AE_01_13-fA01b_C091216_20091216104311084_02_warp_m0g80c8e1e-1x26r301
37276;GMR10F02;CB1_GMR_10F02_AE_01_02-fA01b_C090226_20090226161945500_02_warp_m0g80c8e1e-1x26r301
37277;GMR10F08;CB1_GMR_10F08_AE_01_05-fA01b_C100418_20100419214058359_02_warp_m0g80c8e1e-1x26r301
37278;GMR10F09;CB1_GMR_10F09_AE_01_06-fA01b_C101205_20101206102718218_02_warp_m0g80c8e1e-1x26r301
37279;GMR10F12;CB1_GMR_10F12_AE_01_05-fA01b_C100710_20100710122547015_02_warp_m0g80c8e1e-1x26r301
37280;GMR10G01;CB1_GMR_10G01_AE_01_09-fA01b_C090919_20090919122309968_02_warp_m0g80c8e1e-1x26r301
37281;GMR10G02;CB1_GMR_10G02_AE_01_10-fA01b_C100109_20100111084955518_02_warp_m0g80c8e1e-1x26r301
37282;GMR10G04;CB1_GMR_10G04_AE_01_05-fA01b_C091201_20091201140504373_02_warp_m0g80c8e1e-1x26r301
37283;GMR10G09;CB1_GMR_10G09_AE_01_10-fA01b_C090919_20090921112305437_02_warp_m0g80c8e1e-1x26r301
37284;GMR10H02;CB1_GMR_10H02_AE_01_11-fA01b_C100708_20100708110135546_02_warp_m0g80c8e1e-1x26r301
37285;GMR10H03;CB1_GMR_10H03_AE_01_17-fA01b_C101205_20101206103312015_02_warp_m0g80c8e1e-1x26r301
37286;GMR10H04;CB1_GMR_10H04_AE_01_07-fA01b_C100708_20100708110244093_02_warp_m0g80c8e1e-1x26r301
37287;GMR10H05;CB1_GMR_10H05_AE_01_04-fA01b_C090922_20090922111220641_02_warp_m0g80c8e1e-1x26r301
37288;GMR10H09;CB1_GMR_10H09_AE_01_13-fA01b_C091201_20091201142513966_02_warp_m0g80c8e1e-1x26r301
37289;GMR10H10;CB1_GMR_10H10_AE_01_05-fA01b_C100418_20100419214238109_02_warp_m0g80c8e1e-1x26r301
37290;GMR11A01;CB1_GMR_11A01_AE_01_11-fA01b_C100320_20100321132301843_02_warp_m0g80c8e1e-1x26r301
37291;GMR11A07;CB1_GMR_11A07_AE_01_06-fA01b_C090922_20090922112626891_02_warp_m0g80c8e1e-1x26r301
37292;GMR11A09;CB1_GMR_11A09_AE_01_10-fA01b_C090922_20090922100437730_02_warp_m0g80c8e1e-1x26r301
37293;GMR11A10;CB1_GMR_11A10_AE_01_02-fA01b_C090226_20090226151445906_02_warp_m0g80c8e1e-1x26r301
37294;GMR11A11;CB1_GMR_11A11_AE_01_10-fA01b_C090922_20090922100754746_02_warp_m0g80c8e1e-1x26r301
37295;GMR11A12;CB1_GMR_11A12_AE_01_05-fA01b_C100708_20100708110424953_02_warp_m0g80c8e1e-1x26r301
37296;GMR11B02;CB1_GMR_11B02_AE_01_05-fA01b_C100429_20100429091829562_02_warp_m0g80c8e1e-1x26r301
37297;GMR11B04;CB1_GMR_11B04_AE_01_14-fA01b_C090922_20090922101435089_02_warp_m0g80c8e1e-1x26r301
37298;GMR11B06;CB1_GMR_11B06_AE_01_11-fA01b_C100407_20100408134400062_02_warp_m0g80c8e1e-1x26r301
37299;GMR11B07;CB1_GMR_11B07_AE_01_14-fA01b_C110629_20110629102632140_02_warp_m0g80c8e1e-1x26r301
37300;GMR11B09;CB1_GMR_11B09_AE_01_13-fA01b_C100708_20100708110557000_02_warp_m0g80c8e1e-1x26r301
37301;GMR11B12;CB1_GMR_11B12_AE_01_07-fA01b_C090922_20090922101749199_02_warp_m0g80c8e1e-1x26r301
37302;GMR11C04;CB1_GMR_11C04_AE_01_08-fA01b_C100319_20100319105602984_02_warp_m0g80c8e1e-1x26r301
37303;GMR11C07;CB1_GMR_11C07_AE_01_05-fA01b_C100429_20100429092106843_02_warp_m0g80c8e1e-1x26r301
37304;GMR11C11;CB1_GMR_11C11_AE_01_04-fA01b_C091126_20091126102855653_02_warp_m0g80c8e1e-1x26r301
37305;GMR11D01;CB1_GMR_11D01_AE_01_09-fA01b_C091030_20091030124448828_02_warp_m0g80c8e1e-1x26r301
37306;GMR11D02;CB1_GMR_11D02_AE_01_04-fA01b_C100708_20100708110656859_02_warp_m0g80c8e1e-1x26r301
37308;GMR11D04;CB1_GMR_11D04_AE_01_10-fA01b_C100319_20100319105629359_02_warp_m0g80c8e1e-1x26r301
37309;GMR11D09;CB1_GMR_11D09_AE_01_13-fA01b_C091216_20091216105344037_02_warp_m0g80c8e1e-1x26r301
37310;GMR11E05;CB1_GMR_11E05_AE_01_11-fA01b_C100418_20100419214454250_02_warp_m0g80c8e1e-1x26r301
37311;GMR11E07;CB1_GMR_11E07_AE_01_07-fA01b_C090923_20090923110948047_02_warp_m0g80c8e1e-1x26r301
37312;GMR11E08;CB1_GMR_11E08_AE_01_03-fA01b_C100226_20100226111100625_02_warp_m0g80c8e1e-1x26r301
37313;GMR11F02;CB1_GMR_11F02_AE_01_13-fA01b_C090923_20090923111510266_02_warp_m0g80c8e1e-1x26r301
37314;GMR11F03;CB1_GMR_11F03_AE_01_16-fA01b_C091126_20091126103953512_02_warp_m0g80c8e1e-1x26r301
37315;GMR11F06;CB1_GMR_11F06_AE_01_09-fA01b_C090923_20090923111650032_02_warp_m0g80c8e1e-1x26r301
37316;GMR11F07;CB1_GMR_11F07_AE_01_13-fA01b_C101006_20101006101446656_02_warp_m0g80c8e1e-1x26r301
37317;GMR11F08;CB1_GMR_11F08_AE_01_10-fA01b_C100708_20100708111013437_02_warp_m0g80c8e1e-1x26r301
37318;GMR11G01;CB1_GMR_11G01_AE_01_08-fA01b_C110107_20110107105659718_02_warp_m0g80c8e1e-1x26r301
37319;GMR11G08;CB1_GMR_11G08_AE_01_03-fA01b_C090923_20090923112411704_02_warp_m0g80c8e1e-1x26r301
37320;GMR11G11;CB1_GMR_11G11_AE_01_03-fA01b_C100226_20100226111622437_02_warp_m0g80c8e1e-1x26r301
37321;GMR11G12;CB1_GMR_11G12_AE_01_00-fA01b_C090303_20090303104649609_02_warp_m0g80c8e1e-1x26r301
37322;GMR11H01;CB1_GMR_11H01_AE_01_03-fA01b_C101123_20101123101317546_02_warp_m0g80c8e1e-1x26r301
37323;GMR11H05;CB1_GMR_11H05_AE_01_06-fA01b_C091202_20091202093723766_02_warp_m0g80c8e1e-1x26r301
37324;GMR11H07;CB1_GMR_11H07_AE_01_00-fA01b_C090303_20090303105441671_02_warp_m0g80c8e1e-1x26r301
37325;GMR11H09;CB1_GMR_11H09_AE_01_14-fA01b_C091202_20091202093831360_02_warp_m0g80c8e1e-1x26r301
37326;GMR11H10;CB1_GMR_11H10_AE_01_08-fA01b_C110105_20110105102707421_02_warp_m0g80c8e1e-1x26r301
37327;GMR12A01;CB1_GMR_12A01_AE_01_05-fA01b_C090508_20090508135056281_02_warp_m0g80c8e1e-1x26r301
37328;GMR12A05;CB1_GMR_12A05_AE_01_06-fA01b_C091202_20091202094419626_02_warp_m0g80c8e1e-1x26r301
37329;GMR12A06;CB1_GMR_12A06_AE_01_06-fA01b_C110105_20110105103129031_02_warp_m0g80c8e1e-1x26r301
37330;GMR12A08;CB1_GMR_12A08_AE_01_06-fA01b_C091202_20091202094535126_02_warp_m0g80c8e1e-1x26r301
37331;GMR12A10;CB1_GMR_12A10_AE_01_03-fA01b_C101002_20101003110235078_02_warp_m0g80c8e1e-1x26r301
37332;GMR12A11;CB1_GMR_12A11_AE_01_05-fA01b_C090923_20090923112849813_02_warp_m0g80c8e1e-1x26r301
37333;GMR12A12;CB1_GMR_12A12_AE_01_05-fA01b_C090923_20090923113202016_02_warp_m0g80c8e1e-1x26r301
37334;GMR12B01;CB1_GMR_12B01_AE_01_03-fA01b_C091202_20091202094754516_02_warp_m0g80c8e1e-1x26r301
37335;GMR12B02;CB1_GMR_12B02_AE_01_05-fA01b_C100429_20100429092533046_02_warp_m0g80c8e1e-1x26r301
37336;GMR12B08;CB1_GMR_12B08_AE_01_06-fA01b_C091202_20091202095212485_02_warp_m0g80c8e1e-1x26r301
37337;GMR12B10;CB1_GMR_12B10_AE_01_05-fA01b_C100319_20100319110008281_02_warp_m0g80c8e1e-1x26r301
37338;GMR12C01;CB1_GMR_12C01_AE_01_10-fA01b_C100418_20100419214726468_02_warp_m0g80c8e1e-1x26r301
37339;GMR12C04;CB1_GMR_12C04_AE_01_06-fA01b_C090923_20090923110540730_02_warp_m0g80c8e1e-1x26r301
37340;GMR12C07;CB1_GMR_12C07_AE_01_02-fA01b_C090328_20090330100423125_02_warp_m0g80c8e1e-1x26r301
37341;GMR12C11;CB1_GMR_12C11_AE_01_10-fA01b_C090923_20090923111206371_02_warp_m0g80c8e1e-1x26r301
37342;GMR12C12;CB1_GMR_12C12_AE_01_15-fA01b_C100709_20100709110839031_02_warp_m0g80c8e1e-1x26r301
37343;GMR12D02;CB1_GMR_12D02_AE_01_08-fA01b_C100109_20100109110247835_02_warp_m0g80c8e1e-1x26r301
37344;GMR12D03;CB1_GMR_12D03_AE_01_06-fA01b_C090923_20090923111353105_02_warp_m0g80c8e1e-1x26r301
37345;GMR12D04;CB1_GMR_12D04_AE_01_07-fA01b_C100429_20100429092632093_02_warp_m0g80c8e1e-1x26r301
37346;GMR12D05;CB1_GMR_12D05_AE_01_11-fA01b_C100709_20100709110938718_02_warp_m0g80c8e1e-1x26r301
37347;GMR12D09;CB1_GMR_12D09_AE_01_09-fA01b_C091030_20091030125044687_02_warp_m0g80c8e1e-1x26r301
37348;GMR12D10;CB1_GMR_12D10_AE_01_08-fA01b_C090923_20090923111829277_02_warp_m0g80c8e1e-1x26r301
37349;GMR12D11;CB1_GMR_12D11_AE_01_06-fA01b_C100226_20100226111819890_02_warp_m0g80c8e1e-1x26r301
37350;GMR12D12;CB1_GMR_12D12_AE_01_07-fA01b_C100429_20100429210245171_02_warp_m0g80c8e1e-1x26r301
37351;GMR12E04;CB1_GMR_12E04_AE_01_06-fA01b_C100319_20100319110034984_02_warp_m0g80c8e1e-1x26r301
37352;GMR12E08;CB1_GMR_12E08_AE_01_09-fA01b_C100709_20100709111356375_02_warp_m0g80c8e1e-1x26r301
37353;GMR12E09;CB1_GMR_12E09_AE_01_10-fA01b_C100319_20100319110220281_02_warp_m0g80c8e1e-1x26r301
37354;GMR12F01;CB1_GMR_12F01_AE_01_05-fA01b_C100226_20100226112124437_02_warp_m0g80c8e1e-1x26r301
37355;GMR12F03;CB1_GMR_12F03_AE_01_04-fA01b_C091202_20091202100501891_02_warp_m0g80c8e1e-1x26r301
37356;GMR12F05;CB1_GMR_12F05_AE_01_04-fA01b_C100709_20100709111603109_02_warp_m0g80c8e1e-1x26r301
37357;GMR12F08;CB1_GMR_12F08_AE_01_09-fA01b_C100227_20100301104016062_02_warp_m0g80c8e1e-1x26r301
37358;GMR12F09;CB1_GMR_12F09_AE_01_04-fA01b_C100319_20100319110508640_02_warp_m0g80c8e1e-1x26r301
37359;GMR12F11;CB1_GMR_12F11_AE_01_06-fA01b_C101002_20101003110807140_02_warp_m0g80c8e1e-1x26r301
37360;GMR12G01;CB1_GMR_12G01_AE_01_04-fA01b_C100319_20100319110633625_02_warp_m0g80c8e1e-1x26r301
37361;GMR12G02;CB1_GMR_12G02_AE_01_03-fA01b_C101002_20101003110844843_02_warp_m0g80c8e1e-1x26r301
37362;GMR12G03;CB1_GMR_12G03_AE_01_08-fA01b_C091014_20091014113612781_02_warp_m0g80c8e1e-1x26r301
37363;GMR12G04;CB1_GMR_12G04_AE_01_05-fA01b_C100811_20100811102535687_02_warp_m0g80c8e1e-1x26r301
37364;GMR12G06;CB1_GMR_12G06_AE_01_05-fA01b_C100709_20100709111820250_02_warp_m0g80c8e1e-1x26r301
37365;GMR12G07;CB1_GMR_12G07_AE_01_05-fA01b_C100709_20100709111958375_02_warp_m0g80c8e1e-1x26r301
37366;GMR12G08;CB1_GMR_12G08_AE_01_10-fA01b_C100420_20100420221129203_02_warp_m0g80c8e1e-1x26r301
37367;GMR12G09;CB1_GMR_12G09_AE_01_04-fA01b_C101002_20101003111201265_02_warp_m0g80c8e1e-1x26r301
37368;GMR12G10;CB1_GMR_12G10_AE_01_03-fA01b_C100318_20100318135634796_02_warp_m0g80c8e1e-1x26r301
37369;GMR12G11;CB1_GMR_12G11_AE_01_10-fA01b_C091014_20091014113917765_02_warp_m0g80c8e1e-1x26r301
37370;GMR12G12;CB1_GMR_12G12_AE_01_05-fA01b_C091218_20091218160337281_02_warp_m0g80c8e1e-1x26r301
37371;GMR12H02;CB1_GMR_12H02_AE_01_07-fA01b_C100429_20100429210350578_02_warp_m0g80c8e1e-1x26r301
37372;GMR12H03;CB1_GMR_12H03_AE_01_04-fA01b_C100429_20100429210526062_02_warp_m0g80c8e1e-1x26r301
37374;GMR12H08;CB1_GMR_12H08_AE_01_05-fA01b_C101014_20101014101605812_02_warp_m0g80c8e1e-1x26r301
37375;GMR12H09;CB1_GMR_12H09_AE_01_05-fA01b_C100429_20100429210838281_02_warp_m0g80c8e1e-1x26r301
37376;GMR12H11;CB1_GMR_12H11_AE_01_04-fA01b_C101014_20101014101844312_02_warp_m0g80c8e1e-1x26r301
37377;GMR12H12;CB1_GMR_12H12_AE_01_04-fA01b_C100712_20100712221209718_02_warp_m0g80c8e1e-1x26r301
37378;GMR13A04;CB1_GMR_13A04_AE_01_05-fA01b_C100226_20100226140807453_02_warp_m0g80c8e1e-1x26r301
37379;GMR13A07;CB1_GMR_13A07_AE_01_03-fA01b_C101014_20101014102001125_02_warp_m0g80c8e1e-1x26r301
37380;GMR13A08;CB1_GMR_13A08_AE_01_05-fA01b_C100712_20100712221434843_02_warp_m0g80c8e1e-1x26r301
37381;GMR13B01;CB1_GMR_13B01_AE_01_04-fA01b_C100226_20100226140958125_02_warp_m0g80c8e1e-1x26r301
37382;GMR13B02;CB1_GMR_13B02_AE_01_09-fA01b_C091203_20091203140441294_02_warp_m0g80c8e1e-1x26r301
37383;GMR13B06;CB1_GMR_13B06_AE_01_06-fA01b_C091204_20091204114348126_02_warp_m0g80c8e1e-1x26r301
37384;GMR13B07;CB1_GMR_13B07_AE_01_08-fA01b_C091216_20091216110439069_02_warp_m0g80c8e1e-1x26r301
37385;GMR13B08;CB1_GMR_13B08_AE_01_05-fA01b_C091204_20091204114814266_02_warp_m0g80c8e1e-1x26r301
37386;GMR13B10;CB1_GMR_13B10_AE_01_04-fA01b_C091218_20091218160745578_02_warp_m0g80c8e1e-1x26r301
37387;GMR13B12;CB1_GMR_13B12_AE_01_14-fA01b_C091204_20091204115118220_02_warp_m0g80c8e1e-1x26r301
37388;GMR13C03;CB1_GMR_13C03_AE_01_03-fA01b_C100712_20100712221705765_02_warp_m0g80c8e1e-1x26r301
37389;GMR13C04;CB1_GMR_13C04_AE_01_03-fA01b_C100319_20100319125626031_02_warp_m0g80c8e1e-1x26r301
37391;GMR13C09;CB1_GMR_13C09_AE_01_03-fA01b_C100712_20100712221903906_02_warp_m0g80c8e1e-1x26r301
37392;GMR13C11;CB1_GMR_13C11_AE_01_08-fA01b_C100113_20100113095922770_02_warp_m0g80c8e1e-1x26r301
37393;GMR13D02;CB1_GMR_13D02_AE_01_03-fA01b_C101014_20101014102150687_02_warp_m0g80c8e1e-1x26r301
37394;GMR13D03;CB1_GMR_13D03_AE_01_04-fA01b_C091204_20091204120109548_02_warp_m0g80c8e1e-1x26r301
37395;GMR13D04;CB1_GMR_13D04_AE_01_07-fA01b_C100320_20100321132457812_02_warp_m0g80c8e1e-1x26r301
37396;GMR13D09;CB1_GMR_13D09_AE_01_06-fA01b_C091204_20091204114018044_02_warp_m0g80c8e1e-1x26r301
37397;GMR13E04;CB1_GMR_13E04_AE_01_04-fA01b_C100712_20100712222314718_02_warp_m0g80c8e1e-1x26r301
37398;GMR13E06;CB1_GMR_13E06_AE_01_03-fA01b_C091204_20091204114836044_02_warp_m0g80c8e1e-1x26r301
37399;GMR13E10;CB1_GMR_13E10_AE_01_02-fA01b_C101218_20101219105714437_02_warp_m0g80c8e1e-1x26r301
37400;GMR13E12;CB1_GMR_13E12_AE_01_03-fA01b_C091204_20091204115149107_02_warp_m0g80c8e1e-1x26r301
37401;GMR13F01;CB1_GMR_13F01_AE_01_03-fA01b_C100318_20100318135829968_02_warp_m0g80c8e1e-1x26r301
37402;GMR13F02;CB1_GMR_13F02_AE_01_04-fA01b_C100319_20100319125832484_02_warp_m0g80c8e1e-1x26r301
37403;GMR13F03;CB1_GMR_13F03_AE_01_05-fA01b_C100318_20100318140102203_02_warp_m0g80c8e1e-1x26r301
37404;GMR13F04;CB1_GMR_13F04_AE_01_04-fA01b_C100318_20100318140202562_02_warp_m0g80c8e1e-1x26r301
37405;GMR13F07;CB1_GMR_13F07_AE_01_02-fA01b_C090306_20090306143524640_02_warp_m0g80c8e1e-1x26r301
37406;GMR13F08;CB1_GMR_13F08_AE_01_03-fA01b_C100712_20100712222629875_02_warp_m0g80c8e1e-1x26r301
37407;GMR13F09;CB1_GMR_13F09_AE_01_04-fA01b_C100226_20100226141508000_02_warp_m0g80c8e1e-1x26r301
37408;GMR13F10;CB1_GMR_13F10_AE_01_04-fA01b_C100429_20100429211319734_02_warp_m0g80c8e1e-1x26r301
37409;GMR13G01;CB1_GMR_13G01_AE_01_04-fA01b_C100318_20100318140326046_02_warp_m0g80c8e1e-1x26r301
37410;GMR13G03;CB1_GMR_13G03_AE_01_03-fA01b_C100712_20100712222824765_02_warp_m0g80c8e1e-1x26r301
37411;GMR13G04;CB1_GMR_13G04_AE_01_03-fA01b_C100429_20100429211423828_02_warp_m0g80c8e1e-1x26r301
37412;GMR13G06;CB1_GMR_13G06_AE_01_12-fA01b_C100226_20100226141810468_02_warp_m0g80c8e1e-1x26r301
37413;GMR13G08;CB1_GMR_13G08_AE_01_07-fA01b_C100710_20100710122658593_02_warp_m0g80c8e1e-1x26r301
37414;GMR13G12;CB1_GMR_13G12_AE_01_05-fA01b_C091208_20091208094418678_02_warp_m0g80c8e1e-1x26r301
37415;GMR13H03;CB1_GMR_13H03_AE_01_05-fA01b_C100226_20100226142529671_02_warp_m0g80c8e1e-1x26r301
37416;GMR13H04;CB1_GMR_13H04_AE_01_03-fA01b_C100319_20100319125902578_02_warp_m0g80c8e1e-1x26r301
37417;GMR13H08;CB1_GMR_13H08_AE_01_00-fA01b_C100710_20100710122826468_02_warp_m0g80c8e1e-1x26r301
37418;GMR13H11;CB1_GMR_13H11_AE_01_07-fA01b_C091208_20091208094724662_02_warp_m0g80c8e1e-1x26r301
37419;GMR14A01;CB1_GMR_14A01_AE_01_01-fA01b_C090310_20090310144606437_02_warp_m0g80c8e1e-1x26r301
37420;GMR14A02;CB1_GMR_14A02_AE_01_04-fA01b_C100226_20100226142622140_02_warp_m0g80c8e1e-1x26r301
37421;GMR14A05;CB1_GMR_14A05_AE_01_13-fA01b_C100226_20100226142935296_02_warp_m0g80c8e1e-1x26r301
37422;GMR14A07;CB1_GMR_14A07_AE_01_04-fA01b_C100318_20100318140627234_02_warp_m0g80c8e1e-1x26r301
37423;GMR14A11;CB1_GMR_14A11_AE_01_04-fA01b_C100318_20100318140749484_02_warp_m0g80c8e1e-1x26r301
37424;GMR14A12;CB1_GMR_14A12_AE_01_09-fA01b_C091208_20091208095749334_02_warp_m0g80c8e1e-1x26r301
37425;GMR14B01;CB1_GMR_14B01_AE_01_03-fA01b_C100226_20100226112347734_02_warp_m0g80c8e1e-1x26r301
37426;GMR14B02;CB1_GMR_14B02_AE_01_04-fA01b_C100226_20100226112610765_02_warp_m0g80c8e1e-1x26r301
37427;GMR14B04;CB1_GMR_14B04_AE_01_03-fA01b_C100430_20100430105619687_02_warp_m0g80c8e1e-1x26r301
37429;GMR14B06;CB1_GMR_14B06_AE_01_08-fA01b_C100227_20100301104154750_02_warp_m0g80c8e1e-1x26r301
37430;GMR14B07;CB1_GMR_14B07_AE_01_04-fA01b_C100227_20100301104410171_02_warp_m0g80c8e1e-1x26r301
37431;GMR14B11;CB1_GMR_14B11_AE_01_05-fA01b_C091208_20091208100242803_02_warp_m0g80c8e1e-1x26r301
37432;GMR14C03;CB1_GMR_14C03_AE_01_01-fA01b_C090311_20090311111615843_02_warp_m0g80c8e1e-1x26r301
37433;GMR14C05;CB1_GMR_14C05_AE_01_05-fA01b_C091208_20091208100519787_02_warp_m0g80c8e1e-1x26r301
37434;GMR14C06;CB1_GMR_14C06_AE_01_00-fA01b_C090311_20090311112412187_02_warp_m0g80c8e1e-1x26r301
37435;GMR14C07;CB1_GMR_14C07_AE_01_05-fA01b_C100320_20100321132720765_02_warp_m0g80c8e1e-1x26r301
37436;GMR14C08;CB1_GMR_14C08_AE_01_11-fA01b_C100227_20100301104559234_02_warp_m0g80c8e1e-1x26r301
37437;GMR14C11;CB1_GMR_14C11_AE_01_11-fA01b_C091216_20091216142602937_02_warp_m0g80c8e1e-1x26r301
37438;GMR14D05;CB1_GMR_14D05_AE_01_02-fA01b_C090311_20090311113954718_02_warp_m0g80c8e1e-1x26r301
37439;GMR14D06;CB1_GMR_14D06_AE_01_05-fA01b_C100430_20100430105901078_02_warp_m0g80c8e1e-1x26r301
37440;GMR14D10;CB1_GMR_14D10_AE_01_01-fA01b_C090528_20090529131159187_02_warp_m0g80c8e1e-1x26r301
37441;GMR14D12;CB1_GMR_14D12_AE_01_00-fA01b_C090311_20090311122154500_02_warp_m0g80c8e1e-1x26r301
37442;GMR14E02;CB1_GMR_14E02_AE_01_03-fA01b_C100702_20100702091114296_02_warp_m0g80c8e1e-1x26r301
